20210620-135505, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135506, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~othersjj?chseq=8508 HTTP/1.1
20210620-135506, fd=24 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=12
20210620-135506, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /websdr-waterfall.js HTTP/1.1
20210620-135506, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135506, fd=23 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135506, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~fetchdx?min=14004&max=14196 HTTP/1.1
20210620-135506, fd=20 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~fetchdx?min=145976&max=148024 HTTP/1.1
20210620-135506, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /websdr-sound.js HTTP/1.1
20210620-135506, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135506, fd=22 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135506, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b4z0i0.png HTTP/1.1
20210620-135506, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135506, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135506, fd=24 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /scaleblack.png HTTP/1.1
20210620-135506, fd=24 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135506, fd=24 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135506, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /favicon.ico HTTP/1.1
20210620-135506, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135506, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135506, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: sending 404 for file not found: pub2/favicon.ico
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=13
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~waterstream0?format=9&width=1024&zoom=0&start=0 HTTP/1.1
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: changing to WebSocket
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: assigned waterstream 1
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=14
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~stream?v=11 HTTP/1.1
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: changing to WebSocket
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: assigned stream 1
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~waterparam?slow=4
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~waterparam?band=0&zoom=0&start=0
20210620-135506, fd=25 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~waterparam?band=4&zoom=0&start=0
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?f=146930&band=4&lo=-6.25&hi=6.25&mode=4&name=
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?f=146930&band=4&lo=-6.25&hi=6.25&mode=4&name=
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?mute=0
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?squelch=0
20210620-135506, fd=26 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~param?autonotch=0
20210620-135507, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~othersjj?chseq=8508 HTTP/1.1
20210620-135507, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~othersjj?chseq=2 HTTP/1.1
20210620-135507, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b0z0i0.png HTTP/1.1
20210620-135507, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36
20210620-135507, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135507, fd=21 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/1623530757-b1z0i0.png HTTP/1.1
